county,cd,pop
1,2,4869
1,4,41971
1,6,104291
3,5,37198
5,5,11155
7,8,26948
9,5,27279
11,11,17797
13,1,6420
13,3,41339
15,1,21282
17,7,35190
19,7,107392
21,10,129651
21,11,108667
23,11,90912
25,8,158666
25,12,19345
27,11,83029
29,3,9980
31,3,66426
33,6,23719
35,5,21260
35,10,133098
37,2,33881
37,4,29624
39,11,27444
41,1,9037
41,3,5756
43,11,10587
45,10,98078
47,7,58098
49,1,24245
49,3,79260
51,2,160495
51,4,142516
51,7,16420
53,3,23547
55,3,33910
57,5,58641
57,8,63355
57,12,40882
59,5,41240
61,7,58505
63,1,159693
63,4,73676
63,6,31007
63,13,3211
65,1,38447
65,13,18105
67,5,298408
67,12,52262
69,1,18773
69,13,41846
71,10,206086
73,1,3594
73,3,8603
75,11,8861
77,1,34396
77,6,6980
77,13,18540
79,1,11822
79,3,9540
81,6,292415
81,12,195991
83,1,54691
85,2,97190
85,4,17488
87,11,59036
89,11,106740
91,1,24669
93,2,33239
93,7,13713
95,3,5796
97,5,47734
97,9,111689
97,12,14
99,11,40271
101,7,168878
103,3,10153
105,2,57866
107,1,27468
107,3,4525
107,7,27502
109,10,78265
111,11,44996
113,11,33922
115,11,20762
117,1,16057
117,3,8448
119,8,17572
119,9,519655
119,12,382401
121,11,15579
123,8,27798
125,2,88247
127,1,40713
127,13,55127
129,3,52450
129,7,149502
131,1,22099
133,3,177772
135,4,112883
135,6,20918
137,3,13144
139,1,24091
139,3,16570
141,3,30964
141,7,21253
143,1,5638
143,3,7815
145,6,39464
147,1,49848
147,3,118300
149,10,20510
151,2,130492
151,8,11260
153,8,46639
155,7,12849
155,8,121319
157,6,93643
159,5,31775
159,8,64013
159,9,10
159,12,42630
161,10,67810
163,7,63431
165,8,36157
167,8,60585
169,6,47401
171,6,73673
173,11,13981
175,11,33090
177,3,4407
179,8,99207
179,9,102085
181,1,32249
181,13,13173
183,2,127253
183,4,315307
183,13,458433
185,1,20972
187,1,8501
187,3,4727
189,5,51077
191,1,49885
191,13,72738
193,5,69338
193,6,2
195,1,28729
195,13,52505
197,5,38406
199,11,17818
