county,cd,pop
1,19,91292
3,4,274632
3,12,6563
3,14,645872
3,18,354599
5,3,32427
5,5,9
5,12,39956
7,4,179206
7,18,2206
9,9,49984
11,6,207535
11,15,3621
11,16,60254
11,17,102228
13,5,6
13,9,129138
15,10,62761
17,8,597596
17,13,39
19,3,112701
19,4,61382
21,9,21749
21,12,130849
23,5,5974
25,11,58802
27,5,135758
29,6,243240
29,7,74802
29,16,115459
31,3,4
31,5,41761
33,5,75368
33,9,8014
35,5,37914
37,11,64151
39,3,79990
39,5,10376
41,9,40328
41,17,17
41,19,173329
43,17,251798
45,1,75200
45,7,475664
47,5,35112
49,3,280719
51,9,33681
51,12,114963
53,5,4946
55,9,129313
57,9,14261
59,12,40650
59,18,22
61,9,45586
63,9,66886
63,12,22719
65,5,45932
67,5,3252
67,9,19569
69,10,84987
69,11,128308
71,16,470658
73,4,94643
75,17,120327
77,6,2181
77,15,309909
79,10,63047
79,11,256203
81,5,47237
81,10,72807
83,5,45936
85,3,105595
85,4,14698
87,5,30802
87,9,15684
89,11,138687
91,2,36940
91,6,193200
91,7,96050
91,8,16875
91,13,341302
91,15,65730
93,10,18236
95,15,267059
97,10,94556
99,9,21823
99,17,21779
101,1,571143
101,2,609530
101,8,31536
101,13,305341
103,10,46302
105,5,18080
107,17,150336
109,10,37546
111,9,50088
111,12,29935
113,10,6556
115,10,42238
117,5,41167
117,10,128
119,10,41624
121,3,6518
121,5,51047
123,3,28192
123,5,15671
125,12,103083
125,18,99814
127,10,47722
129,4,22208
129,9,613
129,12,157355
129,18,189817
131,10,28080
133,19,381751
