usps,congress,year,cd,R_isoa,R_isop,R_LIC,R_SCC,R_mean,R_harm,R_dyn,pop_hull,A_hull,IP_d,obj_ip_dist,obj_polsby,obj_lic,obj_scc,obj_inertia_a,obj_inertia_p,obj_mean_radius,obj_harm_radius,obj_dyn_radius,obj_axis,obj_exchange,obj_hull_pop,obj_hull_area,obj_rohrbach
AL,107,1990,1,75658.60838951875,187149.91525420023,43237.05614277552,97120.5414794477,55788.806197157195,36410.02573885039,60381.64172793912,597107,21889629120.941273,50488.37708164714,1.356795896146907,0.16343212525700843,0.3265844749706473,0.6068683770816986,0.8116035122714773,1.4003554647600758,0.904107395333535,1.0389804298983119,0.8860096134585852,0.32022130130651605,0.7692019469695179,0.9693907457122425,0.821538966319231,0.4848327326436744
AL,107,1990,2,91822.43069200148,190829.56952576147,61630.551646915636,116936.56767598621,66488.28968665538,46807.428699268174,71872.780880654,735731,35133254199.35843,88628.8963539724,0.9380392849359245,0.23152944404273254,0.4504997351233231,0.6165905801905097,0.8101924944560548,0.8017737500220888,0.9206877494241498,0.9808531812540806,0.9033776432716653,0.37736291005449724,0.8012265197983544,0.7745058995747087,0.7539265974917033,0.6446350635881672
AL,107,1990,3,85474.08568562979,178281.25916291677,51487.52210091168,116913.52652560872,65770.38482216315,46725.88295625263,71892.18579499488,1339738,30883396515.45228,88297.99718762538,0.876458170982257,0.22985689839745496,0.3628566235491095,0.5344897813683412,0.7129833930128271,0.724729203353829,0.8663887849295047,0.9146331784212123,0.8406936711644204,0.39987538801116407,0.7333266485287703,0.4326681784050314,0.743179536765102,0.5755998078878706
AL,107,1990,4,87746.65308808399,198247.8688000433,52969.239837585796,149166.27189035807,78393.79587224632,51373.39474232346,87224.30671373334,1549109,36677675920.25006,93662.16134434048,0.8482306633503067,0.19590434385393668,0.36440670594671953,0.3460348575440029,0.5145986503262748,0.653408048323112,0.746204059575322,0.8540087094516531,0.7113413194402449,0.17292313858035416,0.597041794535163,0.37395883698306576,0.6594914724619125,0.5081141998960021
AL,107,1990,5,61675.11282158261,120907.74827541644,29486.955096708167,106185.25670871478,56917.73366108919,37429.57451506127,64209.05152265338,632470,14440659188.570347,56531.87361417467,0.9877889337671159,0.26020260424599206,0.22858090700061268,0.3373583489812701,0.4620441767334748,0.8156302158777765,0.7223889504434681,0.8238820988569505,0.6792015996560895,0.08981713224344114,0.5732587541594427,0.9137081600708334,0.8275281184385727,0.5232380956574143
AL,107,1990,6,48866.59308258056,131837.1068104682,22256.025516489182,61661.79033924541,40050.62418126891,30554.766816062274,42957.11511067735,942728,10862521082.445236,38691.241908499615,1.1435284525076443,0.1373879981803848,0.20742977577741498,0.6280465911931105,0.6457704114251959,1.059232436521971,0.8134137579048393,0.7996558012822402,0.8043812824289891,0.29056847600698055,0.664667851278498,0.6246191902648484,0.6906266986956395,0.46928051650576946
AL,107,1990,7,85339.09423005639,253485.38867221173,55655.63280308666,126184.53766268579,61355.98706776789,44865.53943915983,67162.8099275631,1244471,39152387575.16305,93258.71473197278,0.8285260855083172,0.11334182369275601,0.4253262548376872,0.45738695753471187,0.7703151549721623,0.57038196633215,0.9272563641404066,0.9510539190750281,0.8984712267916294,0.5665617371019113,0.7935234642090885,0.45494189900769083,0.5843696868834337,0.6492255006793742
AZ,107,1990,1,13206.520249797231,32096.48839150865,5625.2291004190365,18270.29973511254,10200.119849792876,6499.443207530606,11274.906913421433,877910,1030985086.3859521,12506.356023726625,0.9561041362604752,0.16930187335750307,0.1814277131151901,0.5224989940907987,0.6158116924454072,0.7773075011921866,0.863161116031096,1.0159732017117593,0.8282480818881798,0.5741817807117635,0.6802254491921702,0.6910116071123463,0.5314645396285886,0.4472437793213818
AZ,107,1990,2,120858.79182233616,241251.4867466804,71692.34247112607,203445.19883819175,97509.3864588085,74913.71941512082,109135.38757026625,1313463,58482465604.96735,153640.32032789942,0.712230598489644,0.25096693113262347,0.3518755123320829,0.35290808368351617,0.5945859395481369,0.38325383290869464,0.8263053517990722,0.8066532590153416,0.783064715911364,0.3168695414053137,0.6654841410312321,0.47998154496929113,0.7846585213923601,0.7986621912137682
AZ,107,1990,3,185685.05566803375,416161.95128456294,130132.22671508753,243776.3533322033,129086.48790942146,33642.28779382056,140612.16914791035,1285105,136801666972.85747,124514.78380019977,1.3502171393938098,0.19908070134896474,0.4911518880716152,0.5801906853455236,0.8615767531092904,1.3126732734439501,0.9589697505666479,2.7596972121221275,0.9337681284878997,0.6322768237944351,0.8074486794293905,0.46915777310025253,0.7917943303278382,0.7566958566096003
AZ,107,1990,4,12629.937591220754,18418.665587180574,8467.0857976984,13742.730459333561,8469.345660034054,5861.837746588029,9075.675580899688,741897,628307536.949071,11099.742876044513,1.0302339780587386,0.4702037446550718,0.4494335735679956,0.844610258304642,0.9035278413639387,0.955065766954842,0.9941687034784827,1.0773018750452619,0.9840275180737308,0.5774489558380603,0.8342056359613819,0.8171646468445081,0.7975905733339056,0.7874174705054522
AZ,107,1990,5,102537.137167304,197202.26041161173,72909.9856821392,136416.1328822535,70015.83760148069,51944.80352709345,76741.29218367308,834936,43658790027.96223,58481.38646379662,1.5874904112106036,0.27035760977112755,0.505605337879814,0.5649771812698791,0.8434396980403065,1.5571336469787258,0.9763232689431356,0.9869816632747732,0.9447939036643092,0.4107002094329625,0.8381934467489204,0.7163459235198866,0.756555081990728,0.8240625631917661
AZ,107,1990,6,184604.37284777683,477235.6949968629,114781.90608388037,253386.2082592617,144332.55816921126,103644.17302917481,156451.61120607262,2453367,137613731120.40393,158040.9392170756,1.0575964039257686,0.14962981178731113,0.38660093173535154,0.5307842446420479,0.7259633527855894,0.9020147557781183,0.8526806665079317,0.8905680244841768,0.8343474565143123,0.32617569002605346,0.6896413495086633,0.2530693532602338,0.7779865182118048,0.5006358491471792
