State,Method,Year,Seats
FL,107,2008,14.08695652173913
FL,111,2008,10.8
FL,114,2008,10.0
IL,107,2008,15.3
IL,107,2016,11.7
IL,111,2008,15.157894736842106
IL,111,2016,11.36842105263158
IL,114,2008,16.0
IL,114,2016,11.0
LA,107,2012,0.8571428571428571
LA,107,2016,0.8571428571428571
LA,111,2012,0.8571428571428571
LA,111,2016,0.8571428571428571
LA,114,2012,1.0
LA,114,2016,1.0
MD,107,2008,5.0
MD,107,2016,5.0
MD,111,2008,6.0
MD,111,2016,6.0
MD,114,2008,7.0
MD,114,2016,7.0
MN,107,2008,6.0
MN,107,2012,5.0
MN,107,2016,3.0
MN,111,2008,5.0
MN,111,2012,5.0
MN,111,2016,3.0
MN,114,2008,6.0
MN,114,2012,6.0
MN,114,2016,3.0
NC,107,2012,3.25
NC,107,2016,4.333333333333333
NC,111,2012,6.0
NC,111,2016,5.0
NC,114,2012,3.0
NC,114,2016,3.0
NC_race,107,2012,3.25
NC_race,107,2016,4.333333333333333
NC_race,111,2012,6.0
NC_race,111,2016,5.0
NC_race,114,2012,3.0
NC_race,114,2016,3.0
PA,107,2000,8.571428571428571
PA,107,2004,7.7142857142857135
PA,107,2008,12.0
PA,107,2012,8.571428571428571
PA,111,2000,8.526315789473683
PA,111,2004,8.526315789473683
PA,111,2008,8.526315789473683
PA,111,2012,8.526315789473683
PA,114,2000,6.0
PA,114,2004,6.0
PA,114,2008,10.0
PA,114,2012,6.0
TN,107,2016,2.0
TN,111,2016,2.0
TN,114,2016,2.0
TX,107,1996,18.0
TX,107,2000,12.0
TX,107,2004,10.8
TX,107,2008,14.4
TX,107,2012,13.2
TX,107,2014,12.0
TX,107,2016,15.6
TX,107,2018,19.2
TX,111,1996,12.375
TX,111,2000,9.0
TX,111,2004,7.875
TX,111,2008,12.375
TX,111,2012,11.25
TX,111,2014,9.0
TX,111,2016,15.75
TX,111,2018,19.125
TX,114,1996,14.0
TX,114,2000,10.0
TX,114,2004,8.0
TX,114,2008,12.0
TX,114,2012,11.0
TX,114,2014,10.0
TX,114,2016,14.0
TX,114,2018,17.0
TX_senate,107,2008,14.4
TX_senate,107,2012,13.2
TX_senate,107,2014,12.0
TX_senate,107,2018,19.2
TX_senate,111,2008,12.375
TX_senate,111,2012,11.25
TX_senate,111,2014,9.0
TX_senate,111,2018,19.125
TX_senate,114,2008,12.0
TX_senate,114,2012,11.0
TX_senate,114,2014,10.0
TX_senate,114,2018,17.0
VA,107,2016,6.0
VA,111,2016,4.0
VA,114,2016,4.0
WI,107,2004,4.4444444444444455
WI,107,2008,7.1111111111111125
WI,107,2012,4.4444444444444455
WI,107,2016,2.6666666666666665
WI,111,2004,4.0
WI,111,2008,7.0
WI,111,2012,4.0
WI,111,2016,2.0
WI,114,2004,3.0
WI,114,2008,7.0
WI,114,2012,3.0
WI,114,2016,2.0
