Ethnicity,Name,Session,State,CD,Party,Delegate,
B,"BASS, Karen",112,CA,33,D,0,1
B,"BISHOP, Sanford Dixon, Jr.",112,GA,2,D,0,2
B,"BROWN, Corrine",112,FL,3,D,0,3
B,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",112,NC,1,D,0,4
B,"CARSON, Andre",112,IN,7,D,0,5
B,"CLARKE, Hansen",112,MI,13,D,0,6
B,"CLARKE, Yvette Diane",112,NY,11,D,0,7
B,"CLAY, William Lacy, Jr.",112,MO,1,D,0,8
B,"CLEAVER, Emanuel, II",112,MO,5,D,0,9
B,"CLYBURN, James Enos",112,SC,6,D,0,10
B,"CONYERS, John, Jr.",112,MI,14,D,0,11
B,"CUMMINGS, Elijah Eugene",112,MD,7,D,0,12
B,"DAVIS, Danny K.",112,IL,7,D,0,13
B,"EDWARDS, Donna F.",112,MD,4,D,0,14
B,"ELLISON, Keith",112,MN,5,D,0,15
B,"FATTAH, Chaka",112,PA,2,D,0,16
B,"FUDGE, Marcia L.",112,OH,11,D,0,17
B,"GREEN, Al",112,TX,9,D,0,18
B,"HASTINGS, Alcee Lamar",112,FL,23,D,0,19
B,"JACKSON LEE, Sheila",112,TX,18,D,0,20
B,"JACKSON, Jesse L., Jr.",112,IL,2,D,0,21
B,"JOHNSON, Eddie Bernice",112,TX,30,D,0,22
B,"JOHNSON, Hank",112,GA,4,D,0,23
B,"LEE, Barbara",112,CA,9,D,0,24
B,"LEWIS, John R.",112,GA,5,D,0,25
B,"MEEKS, Gregory W.",112,NY,6,D,0,26
B,"MOORE, Gwendolynne S. (Gwen)",112,WI,4,D,0,27
B,"NORTON, Eleanor Holmes",112,DC,1,D,1,28
B,"PAYNE, Donald Milford",112,NJ,10,D,0,29
B,"PAYNE, Donald, Jr.",112,NJ,10,D,0,30
B,"RANGEL, Charles B.",112,NY,15,D,0,31
B,"RICHARDSON, Laura",112,CA,37,D,0,32
B,"RICHMOND, Cedric",112,LA,2,D,0,33
B,"RUSH, Bobby L.",112,IL,1,D,0,34
B,"SCOTT, David",112,GA,13,D,0,35
B,"SCOTT, Robert C.",112,VA,3,D,0,36
B,"SCOTT, Tim",112,SC,1,R,0,37
B,"SEWELL, Terri",112,AL,7,D,0,38
B,"THOMPSON, Bennie",112,MS,2,D,0,39
B,"TOWNS, Edolphus",112,NY,10,D,0,40
B,"WATERS, Maxine",112,CA,35,D,0,41
B,"WATT, Melvin L.",112,NC,12,D,0,42
B,"WEST, Allen",112,FL,22,R,0,43
B,"WILSON, Frederica",112,FL,17,D,0,44
H,"BACA, Joe",112,CA,43,D,0,1
H,"BECERRA, Xavier",112,CA,31,D,0,2
H,"CANSECO, Francisco Raul (Quico)",112,TX,23,R,0,3
H,"CARDOZA, Dennis A.",112,CA,18,D,0,4
H,"COSTA, Jim",112,CA,20,D,0,5
