rn,D08,R08
0,1950.0,357.0
1,1218.0,325.0
2,1213.0,609.0
3,1036.0,220.0
4,1881.0,340.0
5,1693.0,55.0
6,3066.0,412.0
7,0.0,0.0
8,1526.0,549.0
9,1060.0,634.0
10,2731.0,1085.0
11,0.0,0.0
12,2053.0,842.0
13,2592.0,1666.0
14,992.0,729.0
15,2742.0,1597.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,2615.0,894.0
20,0.0,0.0
21,2818.0,1039.0
22,0.0,0.0
23,0.0,0.0
24,1655.0,626.0
25,1557.0,693.0
26,1595.0,881.0
27,2106.0,1466.0
28,1701.0,1136.0
29,964.0,1813.0
30,1173.0,1598.0
31,0.0,0.0
32,0.0,0.0
33,2916.0,3371.0
34,578.0,531.0
35,3125.0,2403.0
36,0.0,0.0
37,2760.0,617.0
38,0.0,0.0
39,2349.0,2398.0
40,3051.0,1707.0
41,963.0,974.0
42,710.0,519.0
43,1355.0,1769.0
44,466.0,653.0
45,2417.0,2799.0
46,2082.0,2211.0
47,1211.0,1204.0
48,1032.0,1515.0
49,1842.0,1889.0
50,932.0,1312.0
51,1039.0,341.0
52,735.0,216.0
53,1144.0,736.0
54,490.0,294.0
55,0.0,0.0
56,422.0,2005.0
57,824.0,3315.0
58,924.0,2304.0
59,156.0,1048.0
60,591.0,2805.0
61,986.0,3034.0
62,551.0,1958.0
63,629.0,3049.0
64,853.0,2457.0
65,198.0,569.0
66,485.0,1054.0
67,654.0,1132.0
68,0.0,0.0
69,631.0,1146.0
70,908.0,2280.0
71,459.0,873.0
72,0.0,0.0
73,1071.0,1373.0
74,485.0,743.0
75,973.0,2610.0
76,1271.0,3289.0
77,843.0,2987.0
78,157.0,559.0
79,866.0,2748.0
80,441.0,1475.0
81,487.0,1578.0
82,1111.0,111.0
83,889.0,248.0
84,491.0,413.0
85,468.0,1327.0
86,321.0,728.0
87,1259.0,1745.0
88,563.0,1067.0
89,544.0,886.0
90,393.0,1523.0
91,0.0,0.0
92,368.0,954.0
93,724.0,1769.0
94,0.0,0.0
95,671.0,1660.0
96,533.0,1881.0
97,0.0,0.0
98,450.0,1252.0
99,461.0,1220.0
100,0.0,0.0
101,240.0,743.0
102,628.0,1437.0
103,826.0,1358.0
104,884.0,2392.0
105,1155.0,3044.0
106,565.0,1342.0
107,289.0,792.0
108,0.0,0.0
109,20.0,71.0
110,643.0,999.0
111,0.0,0.0
112,855.0,1267.0
113,377.0,588.0
114,0.0,0.0
115,415.0,759.0
116,0.0,0.0
117,605.0,1237.0
118,0.0,0.0
119,806.0,1485.0
120,587.0,1253.0
121,477.0,763.0
122,456.0,540.0
123,185.0,361.0
124,1081.0,1597.0
125,1463.0,2006.0
126,380.0,124.0
127,74.0,51.0
128,1205.0,1217.0
129,440.0,51.0
130,220.0,14.0
131,590.41,915.512
132,424.0,505.0
133,301.0,482.0
134,747.0,1412.0
135,607.0,939.0
136,1271.0,1779.0
137,303.0,487.0
138,1068.0,2140.0
139,752.0,1440.0
140,846.0,981.0
141,740.0,992.0
142,219.0,538.0
143,304.0,480.0
144,534.0,1100.0
145,1381.0,2999.0
146,590.0,788.0
147,28.0,44.0
148,81.0,133.0
149,1364.0,1718.0
150,389.0,540.0
151,541.0,712.0
152,759.0,1138.0
153,136.0,128.0
154,608.0,640.0
155,201.0,169.0
156,607.0,786.0
157,1181.0,360.0
158,237.0,535.0
159,1481.0,2193.0
160,51.0,101.0
161,224.0,211.0
162,1271.0,1211.0
163,806.0,822.0
164,0.0,0.0
165,929.0,972.0
166,812.0,841.0
167,731.0,858.0
168,939.0,1764.0
169,506.0,612.0
170,1321.0,1477.0
171,0.0,0.0
172,660.0,854.0
173,0.0,0.0
174,1347.0,2089.0
175,484.0,686.0
176,955.0,1523.0
177,603.0,1119.0
178,673.0,813.0
179,697.0,1215.0
180,641.0,1180.0
181,598.0,1038.0
182,0.0,0.0
183,1037.0,1636.0
184,46.0,94.0
185,0.0,0.0
186,1342.0,1737.0
187,523.0,804.0
188,0.0,0.0
189,279.0,383.0
190,646.0,752.0
191,0.0,0.0
192,1009.0,1058.0
193,0.0,0.0
194,559.0,1008.0
195,0.0,0.0
196,786.0,1209.0
197,628.0,1689.0
198,691.0,955.0
199,0.0,0.0
200,0.0,0.0
201,819.0,1866.0
202,1013.0,1479.0
203,1266.0,2782.0
204,1829.5900000000001,2902.4880000000003
205,1347.0,2725.0
206,435.0,347.0
207,1548.0,1542.0
208,1262.0,1400.0
209,1506.0,1725.0
210,146.0,247.0
211,1010.0,940.0
212,1037.0,965.0
213,928.0,1010.0
214,1425.0,1550.0
215,1187.0,1192.0
216,1275.0,759.0
217,510.0,887.0
218,0.0,3.0
219,0.0,0.0
220,970.0,1573.0
221,776.0,880.0
222,503.0,591.0
223,1522.0,1127.0
224,1187.0,64.0
225,865.0,272.0
226,4.0,0.0
227,1679.0,28.0
228,1401.0,1052.0
229,1193.0,851.0
230,1249.0,577.0
231,1897.0,954.0
232,833.0,485.0
233,904.0,470.0
234,1295.0,869.0
235,333.0,378.0
236,2969.0,2817.0
237,1531.0,1114.0
238,2109.0,1918.0
239,1267.0,915.0
240,1486.0,1098.0
241,1748.0,1372.0
242,1342.0,747.0
