rn,D08,R08,D12,R12,D16,R16
0,692,769,651,789,474,913
1,624,539,614,515,402,746
2,706,793,668,777,512,908
3,937,839,924,796,644,975
4,625,592,534,580,334,686
5,1011,1057,1021,1076,768,1288
6,890,1175,805,1239,492,1396
7,716,1047,672,1119,473,1301
8,869,1208,815,1215,555,1469
9,933,1265,922,1222,600,1394
10,825,1108,760,1159,567,1258
11,608,992,441,868,334,933
12,1126,1869,1337,2109,995,2420
13,857,1689,841,1752,631,1874
14,590,841,0,0,0,0
15,1028,1401,985,1469,805,1537
16,557,916,709,1166,554,1144
17,1329,2112,1499,2649,1303,2834
18,629,962,572,934,441,1015
19,699,1236,1010,1702,796,1778
20,774,1098,732,1103,623,1069
21,1835,2541,2354,3428,2112,3252
22,1024,1586,1212,1870,1087,1856
23,1418,2074,1511,2278,1367,2107
24,1303,1933,1352,2033,1239,2137
25,629,958,888,1269,731,1487
26,1526,2215,1118,1543,932,1443
27,663,866,674,934,609,965
28,656,817,726,884,667,938
29,492,523,483,551,352,571
30,1569,1553,1459,1740,1288,1644
31,1243,1602,1210,1729,1103,1670
32,930,1219,906,1275,829,1241
33,0,0,0,0,0,0
34,634,999,646,1037,485,1121
35,922,1298,490,699,391,767
36,816,1004,786,1146,800,972
37,1364,1703,1373,1846,1359,1589
38,599,603,585,612,470,666
39,1091,947,1093,915,918,854
40,602,549,621,504,482,491
41,531,524,568,506,417,482
42,1695,1544,1688,1539,1390,1582
43,813,758,0,0,0,0
44,1374,1229,1931,1634,1524,1580
45,778,645,796,658,675,620
46,687,575,835,683,621,712
47,1314,1163,777,778,620,681
48,889,994,1911,2063,1570,1970
49,2343,2116,1650,1506,1373,1495
50,1896,1705,579,536,446,553
51,790,653,2624,2100,2018,2163
52,605,517,0,0,0,0
53,2037,2288,1824,1999,1577,1803
54,0,0,765,651,662,578
55,2230,1878,1909,1399,1466,1380
56,920,980,1469,1514,1211,1392
57,723,816,547,543,473,500
58,1053,1091,1574,1496,1254,1532
59,1685,1578,2229,1863,1825,1941
60,1071,763,762,558,598,513
61,505,407,647,522,523,527
62,1686,1487,1318,1152,1177,1092
63,1421,1089,1548,1155,1348,1139
