rn,D12,R12,D16,R16
0,1444.0,1072.0,1494.0,943.0
1,594.0,344.0,552.0,322.0
2,987.0,570.0,996.0,528.0
3,2009.0,275.0,1777.0,289.0
4,0.0,0.0,0.0,0.0
5,1982.0,596.0,1831.0,637.0
6,1002.0,2283.0,1257.0,1868.0
7,543.0,723.0,543.0,666.0
8,483.0,899.0,523.0,874.0
9,889.0,1304.0,988.0,1340.0
10,0.0,0.0,0.0,0.0
11,885.0,539.0,832.0,469.0
12,0.0,0.0,0.0,0.0
13,924.0,1731.0,1054.0,1800.0
14,941.0,432.0,834.0,423.0
15,753.0,683.0,741.0,671.0
16,667.0,1147.0,716.0,1183.0
17,1145.0,995.0,1047.0,1061.0
18,559.0,1195.0,602.0,1314.0
19,0.0,0.0,0.0,0.0
20,2098.0,2045.0,2445.0,2240.0
21,950.0,1459.0,954.0,1464.0
22,1280.0,880.0,1142.0,1037.0
23,365.0,1358.0,327.0,1448.0
24,627.0,1951.0,577.0,2043.0
25,1400.0,2562.0,1660.0,2686.0
26,262.0,238.0,310.0,214.0
27,881.0,1380.0,1036.0,1160.0
28,1380.0,2088.0,1782.0,2045.0
29,429.0,1936.0,403.0,2004.0
30,0.0,0.0,0.0,0.0
31,488.0,1661.0,411.0,1865.0
32,425.0,1593.0,450.0,1670.0
33,926.0,1802.0,914.0,1927.0
34,479.0,763.0,550.0,853.0
35,1078.0,1666.0,1085.0,1771.0
36,282.0,808.0,240.0,924.0
37,298.0,1088.0,240.0,1207.0
38,463.0,1161.0,361.0,1328.0
39,1085.0,1753.0,560.0,1339.0
40,837.0,2106.0,632.0,2420.0
41,643.0,2042.0,832.0,3075.0
42,1003.0,3295.0,902.0,3600.0
43,441.510165184244,1289.9466982528872,353.0,1408.0
44,716.0711562897078,1129.3307669529167,688.0,1663.0
45,425.41867852604827,970.722534794196,265.0,743.0
46,1142.0,518.0,798.4025906735751,526.995372318048
47,412.0,336.0,634.4720207253886,475.81236853176273
48,922.0,1479.0,1101.9777202072537,2035.9461506100129
49,1314.0,399.0,971.4404145077721,250.22801851072782
50,1815.0,931.0,992.6906735751295,544.056373580143
51,1414.0,503.0,1360.016580310881,672.9617164493059
52,538.6171875,1215.3840877914952,454.21974522292993,1408.6402425817632
53,418.03125,819.6776406035664,398.4872611464968,1049.8548841238899
54,572.783203125,1057.1015089163238,490.44585987261144,1198.6692657569852
55,633.076171875,1025.0681298582533,579.6178343949044,1204.7849252761534
56,922.482421875,2046.3676268861454,696.656050955414,2042.630279402209
57,1031.009765625,2078.4010059442157,880.5732484076433,2507.4204028589993
58,537.0659163987139,1166.1883537023723,549.9069767441861,1229.1545384417589
59,462.93569131832805,958.9273903666426,436.2044063647491,1088.263306762664
60,267.7765273311897,1069.4665708123653,206.73194614443085,1115.7937773206481
61,240.54501607717043,1141.3170381020848,146.77968176254592,1337.656981229108
62,373.676848874598,1430.1006470165348,349.37698898408814,1527.1313962458214
63,1189.0921574610925,1956.4669652855541,1132.782399449983,1991.173744493392
64,1030.7384803173634,2426.0190369540874,952.0192506015813,2685.6500440528634
65,1232.2795239548368,538.8669012957927,1256.3038844963905,489.46484581497793
66,1246.6753127860848,664.0807870740681,1262.3293227913373,689.351013215859
67,745.7018614586511,1381.8246680531115,744.1416294259195,1506.8341850220263
68,230.33262129996947,999.4751239801632,174.7377105534548,1009.68140969163
69,230.33262129996947,800.4744840825467,216.91577861808182,868.7360352422908
70,742.8227036924015,2180.0631898896177,698.9508422138192,2529.3288105726874
71,578.7107110161733,447.19244920812673,460.94602956342385,402.3349779735683
72,1379.1165700335673,1305.80195168773,1093.6170505328291,1306.9480176211455
73,829.1974366798902,1276.7344424892017,771.2561017531798,1063.4969162995594
74,1255.1304915180513,973.2511125238398,1032.5306859205775,935.8069705093834
75,1517.2227055241408,701.9465988556898,1238.5153429602888,711.1206434316355
76,2233.6080904741193,344.5136681500318,1984.2319494584835,370.61662198391423
77,1689.0387124836886,1367.2886204704387,1522.7220216606497,1438.455764075067
78,1295.4437194127245,1874.7275803722505,1002.3760144274121,2121.9840995506393
79,904.1802610114192,972.760744500846,801.9008115419297,1179.2084341514
80,1377.641924959217,1426.3661590524534,1186.940486925158,1613.6536467334945
81,1489.431484502447,747.269035532995,1346.0477908025248,747.7186311787073
82,818.694127243067,1400.146192893401,712.8007213706042,1341.7559626685102
83,2176.6084828711255,1326.730287648054,2007.9341749323714,1545.6792257172485
84,0.0,0.0,0.0,0.0
85,1406.903741027713,1322.7732141764093,1654.3960441371732,2024.7543894259222
86,1594.4210676427247,2215.964130501316,1868.6573874822582,2680.0078911027817
87,635.8827779626373,357.2763665299627,551.1100224348702,415.0641152101006
88,0.0,0.0,0.0,0.0
89,1894.0297570946427,2454.1483748546243,2509.3094638523876,3314.192148352732
90,0.0,0.0,0.0,0.0
91,1294.8123781908066,2568.987206953541,1182.1683073119364,2925.464588676268
92,665.2150972096782,1325.9631817347126,779.2290646032691,1638.1337541921484
93,989.9657745876314,1916.1071800208117,1510.4891717412206,2390.3057802327876
94,1087.3909778010172,1604.5536818265286,1319.6793187125131,2164.864864864865
95,744.8313923087893,1050.5626492011997,891.1566320223433,1391.623594397317
96,0.0,0.0,0.0,0.0
97,558.3616485240291,1060.1325518761093,593.7490957373747,1289.43775892681
98,0.0,0.0,0.0,0.0
99,881.0171602414794,1567.3373936463242,880.4968636967171,1756.121522982837
100,663.1199315491752,1472.7016894166616,568.165651755872,1723.4641941211285
101,0.0,0.0,0.0,0.0
102,648.4537719256548,1176.0347064944604,594.8150725699372,1521.1994476228053
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,1546.2322574511575,2005.4262716533024,1483.8397509271554,2511.4539356875125
106,879.9695774112279,2000.1096590561303,809.0764159150222,2232.286447030973
107,976.3471977943623,1738.5323192752646,903.9483540130947,2099.550207141448
108,0.0,0.0,0.0,0.0
