rn,D00,R00,D04,R04,D08,R08,D12,R12
0,303.0,711.0,349.0,944.0,409.0,890.0,344.0,916.0
1,575.0,1103.0,674.0,1660.0,853.0,1552.0,753.0,1623.0
2,373.0,1084.0,521.0,1686.0,695.0,1414.0,553.0,1383.0
3,295.0,918.0,392.0,1197.0,536.0,1132.0,458.0,1123.0
4,750.0,1290.0,827.0,1659.0,988.0,1547.0,871.0,1528.0
5,416.0,1028.0,451.0,1279.0,555.0,1080.0,498.0,1098.0
6,675.0,1045.0,812.0,1421.0,926.0,1225.0,812.0,1235.0
7,716.0,1184.0,792.0,1615.0,1005.0,1511.0,861.0,1568.0
8,669.0,1425.0,886.0,2064.0,1206.0,2031.0,1015.0,2115.0
9,704.0,1271.0,849.0,1704.0,1153.0,1592.0,1012.0,1635.0
11,1139.0,1670.0,1310.0,2449.0,1702.0,2310.0,1437.0,2446.0
13,501.0,881.0,579.0,1153.0,749.0,1158.0,638.0,1193.0
14,272.0,578.0,287.0,878.0,364.0,859.0,320.0,867.0
15,350.0,723.0,407.0,940.0,440.0,934.0,352.0,983.0
16,505.0,910.0,509.0,1247.0,608.0,1126.0,541.0,1067.0
17,642.0,920.0,742.0,1174.0,962.0,1146.0,965.0,1269.0
18,424.0,695.0,484.0,810.0,565.0,724.0,468.0,744.0
19,759.0,630.0,1314.0,945.0,2859.0,1233.0,1506.0,918.0
20,318.0,316.0,800.0,837.0,1018.0,673.0,0.0,0.0
21,938.0,1645.0,1122.0,2159.0,1790.0,2763.0,1246.0,2229.0
22,397.0,642.0,427.0,903.0,512.0,831.0,441.0,827.0
23,150.0,31.0,211.0,39.0,239.0,42.0,250.0,31.0
24,634.0,303.0,1142.0,498.0,1805.0,621.0,1610.0,694.0
25,297.0,98.0,409.0,138.0,535.0,191.0,549.0,230.0
26,1082.0,33.0,1062.0,92.0,1241.0,21.0,1181.0,26.0
27,446.0,56.0,607.0,79.0,778.0,99.0,729.0,103.0
28,581.0,192.0,634.0,224.0,626.0,203.0,558.0,195.0
29,416.0,105.0,843.0,254.0,1172.0,314.0,958.0,350.0
30,515.0,132.0,955.0,242.0,1130.0,271.0,965.0,284.0
31,657.0,133.0,853.0,171.0,906.0,162.0,815.0,137.0
32,811.0,24.0,810.0,45.0,1043.0,14.0,984.0,9.0
33,1163.0,38.0,1243.0,68.0,1393.0,25.0,1295.0,25.0
34,662.0,8.0,517.0,16.0,583.0,3.0,652.0,8.0
35,474.0,12.0,519.0,45.0,680.0,23.0,748.0,25.0
36,388.0,5.0,557.0,18.0,573.0,0.0,228.0,2.0
37,466.0,123.0,595.0,145.0,605.0,160.0,652.0,125.0
38,407.0,173.0,501.0,200.0,499.0,188.0,509.0,159.0
39,966.0,523.0,1205.0,477.0,1358.0,427.0,1081.0,473.0
40,692.0,276.0,989.0,291.0,1049.0,295.0,912.0,313.0
41,611.0,236.0,712.0,278.0,848.0,247.0,747.0,256.0
42,673.0,251.0,780.0,234.0,877.0,213.0,745.0,246.0
43,825.0,346.0,1063.0,393.0,1231.0,327.0,972.0,348.0
44,658.0,252.0,787.0,325.0,862.0,364.0,813.0,308.0
45,179.0,102.0,280.0,125.0,296.0,105.0,237.0,104.0
46,476.0,161.0,685.0,172.0,761.0,153.0,722.0,155.0
47,468.0,99.0,632.0,120.0,719.0,100.0,609.0,87.0
48,581.0,242.0,783.0,250.0,739.0,234.0,784.0,191.0
49,561.0,187.0,641.0,205.0,662.0,247.0,711.0,160.0
50,723.0,284.0,832.0,300.0,830.0,320.0,825.0,255.0
51,492.0,161.0,550.0,223.0,603.0,215.0,600.0,169.0
52,1116.0,146.0,1212.0,203.0,1260.0,165.0,1368.0,143.0
53,822.0,339.0,918.0,390.0,1002.0,395.0,1055.0,298.0
54,1099.0,434.0,1285.0,511.0,1289.0,501.0,1329.0,454.0
55,191.0,4.0,236.0,9.0,273.0,4.0,162.0,1.0
56,600.0,75.0,876.0,92.0,1035.0,57.0,918.0,39.0
57,1094.0,465.0,1148.0,542.0,1026.0,631.0,1117.0,459.0
58,1072.0,285.0,1320.0,317.0,1502.0,269.0,1396.0,240.0
59,950.0,257.0,1142.0,271.0,1189.0,238.0,1160.0,215.0
60,680.0,66.0,890.0,96.0,1108.0,52.0,1054.0,54.0
61,516.0,19.0,611.0,40.0,719.0,12.0,691.0,14.0
62,1106.0,111.0,1330.0,181.0,1569.0,116.0,1614.0,108.0
63,1042.0,38.0,1087.0,51.0,1170.0,16.0,1135.0,16.0
64,535.0,18.0,586.0,22.0,610.0,6.0,552.0,5.0
65,376.0,15.0,412.0,24.0,474.0,3.0,394.0,5.0
66,529.0,18.0,472.0,38.0,463.0,10.0,428.0,13.0
67,1148.0,40.0,1309.0,82.0,1393.0,14.0,1252.0,18.0
68,486.0,14.0,564.0,27.0,562.0,3.0,504.0,5.0
69,852.0,21.0,868.0,49.0,835.0,6.0,788.0,12.0
70,656.0,27.0,708.0,32.0,716.0,10.0,627.0,6.0
71,1398.0,40.0,1485.0,90.0,1711.0,17.0,1663.0,25.0
72,1063.0,359.0,2062.0,501.0,2546.0,520.0,2275.0,602.0
73,826.0,309.0,1096.0,306.0,1202.0,289.0,1050.0,300.0
74,1430.0,278.0,1643.0,345.0,1637.0,323.0,1550.0,355.0
75,1223.0,351.0,1367.0,358.0,1357.0,339.0,1356.0,348.0
76,1190.0,191.0,1424.0,192.0,1597.0,165.0,1490.0,181.0
77,948.0,272.0,1135.0,294.0,1225.0,262.0,1218.0,245.0
78,1177.0,221.0,1242.0,370.0,1261.0,428.0,1077.0,458.0
79,309.0,117.0,377.0,109.0,393.0,87.0,377.0,87.0
80,426.0,286.0,506.0,327.0,467.0,358.0,494.0,298.0
81,1947.0,371.0,2085.0,552.0,2093.0,578.0,1849.0,567.0
82,2186.0,505.0,2253.0,740.0,2432.0,763.0,2434.0,760.0
83,705.0,251.0,753.0,310.0,676.0,327.0,683.0,251.0
84,1617.0,524.0,1749.0,604.0,1638.0,630.0,1591.0,551.0
85,661.0,237.0,744.0,276.0,663.0,288.0,581.0,253.0
86,710.0,292.0,1048.0,448.0,1026.0,495.0,907.0,448.0
87,1136.0,406.0,1379.0,528.0,1348.0,584.0,1122.0,580.0
88,492.0,196.0,545.0,233.0,507.0,279.0,462.0,234.0
89,635.0,209.0,744.0,230.0,797.0,246.0,783.0,157.0
90,489.0,221.0,606.0,248.0,596.0,234.0,593.0,232.0
91,641.0,368.0,719.0,410.0,688.0,418.0,630.0,388.0
92,733.0,390.0,752.0,443.0,708.0,485.0,651.0,451.0
93,842.0,377.0,955.0,416.0,996.0,431.0,858.0,426.0
94,680.0,271.0,699.0,335.0,708.0,333.0,615.0,274.0
95,1332.0,614.0,1484.0,677.0,1402.0,647.0,1339.0,537.0
96,1027.0,516.0,1020.0,660.0,908.0,691.0,922.0,572.0
97,2161.0,1205.0,2303.0,1441.0,2093.0,1480.0,2066.0,1356.0
98,670.0,441.0,757.0,471.0,713.0,473.0,680.0,365.0
99,996.0,480.0,1092.0,545.0,961.0,525.0,930.0,460.0
100,361.0,181.0,442.0,191.0,437.0,179.0,402.0,157.0
101,814.0,735.0,906.0,776.0,788.0,850.0,806.0,733.0
102,562.0,25.0,660.0,57.0,731.0,22.0,720.0,26.0
103,440.0,76.0,568.0,94.0,606.0,87.0,643.0,100.0
104,419.0,289.0,446.0,347.0,443.0,294.0,415.0,250.0
105,467.0,233.0,500.0,249.0,450.0,246.0,392.0,205.0
106,425.0,41.0,521.0,53.0,593.0,39.0,580.0,43.0
107,401.0,30.0,468.0,49.0,546.0,26.0,512.0,23.0
108,332.0,120.0,430.0,126.0,408.0,107.0,396.0,108.0
109,404.0,250.0,495.0,297.0,480.0,280.0,465.0,230.0
110,855.0,316.0,1050.0,341.0,1136.0,292.0,1105.0,249.0
111,364.0,11.0,418.0,20.0,536.0,0.0,529.0,6.0
112,234.0,133.0,270.0,173.0,249.0,176.0,272.0,158.0
