rn,D04,R04,D08,R08,D12,R12,D16,R16
0,903.0,1102.0,954.0,1015.0,876.0,1127.0,733.0,1285.0
1,489.0,404.0,513.0,327.0,434.0,355.0,284.0,480.0
2,679.0,534.0,713.0,430.0,812.0,645.0,539.0,863.0
3,1244.0,1000.0,1369.0,722.0,1123.0,757.0,725.0,1006.0
4,419.0,287.0,428.0,205.0,497.0,253.0,269.0,357.0
5,856.0,699.0,845.0,556.0,849.0,681.0,518.0,997.0
6,857.0,864.0,984.0,719.0,951.0,826.0,677.0,978.0
7,577.0,174.0,558.0,141.0,550.0,112.0,436.0,126.0
8,351.0,209.0,1216.0,419.0,1077.0,460.0,1025.0,473.0
9,268.0,170.0,779.0,379.0,660.0,402.0,360.0,197.0
10,875.0,537.0,807.0,491.0,794.0,569.0,775.0,962.0
11,478.0,324.0,493.0,238.0,486.0,291.0,314.0,361.0
12,695.0,644.0,699.0,530.0,619.0,557.0,407.0,651.0
13,596.0,352.0,1266.0,436.0,1213.0,429.0,909.0,533.0
14,1082.0,1061.0,1169.0,975.0,1070.0,1143.0,786.0,1421.0
15,1167.0,955.0,1197.0,816.0,1031.0,882.0,803.0,1120.0
16,1125.0,1015.0,1008.0,871.0,952.0,985.0,629.0,1224.0
17,1281.0,1521.0,1329.0,1270.0,1235.0,1319.0,878.0,1498.0
18,974.0,978.0,973.0,748.0,1146.0,1017.0,880.0,1198.0
19,1567.0,1574.0,1756.0,1415.0,1112.0,1017.0,805.0,1132.0
20,1276.0,1529.0,1417.0,1358.0,1499.0,1762.0,1048.0,2083.0
21,1209.0,1288.0,1191.0,1117.0,1065.0,1255.0,709.0,1522.0
22,473.0,602.0,520.0,551.0,441.0,591.0,324.0,666.0
23,1542.0,1507.0,1518.0,1336.0,1339.0,1472.0,1027.0,1750.0
24,1026.0,389.0,1068.0,294.0,1185.0,312.0,985.0,308.0
25,710.0,456.0,664.0,451.0,701.0,512.0,608.0,558.0
26,1519.0,841.0,1599.0,729.0,1616.0,747.0,1402.0,819.0
27,1714.0,1252.0,1747.0,1141.0,1690.0,1247.0,1258.0,1545.0
28,876.0,816.0,894.0,750.0,841.0,785.0,700.0,894.0
29,1113.0,883.0,1257.0,582.0,617.0,259.0,478.0,283.0
